MapTitle | DownloadUrl | OriginalMapReleaseUrl | PreviewImageUrl
School II Beta (By GHFear) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/School_II_v1-beta/School_II_By_GHFear.zip | https://youtu.be/xZBPvBc4DBM | 
Community Park v3 (By Roober) | | https://drive.google.com/file/d/1wdKm3YFB9qk4w3xRZGYL8V_voVk9Jlrz/view | 
Skatestreet Ventura v3 (By Hippyman) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/SkatestreetVentura/SkatestreetVentura.v3.-rails-.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/SkatestreetVentura | 
LowLife Parking Garage Beta 4 (By Khelldon) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/lowlife_v3/LowLife_Parking_Garage_b4_By_Khelldon.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/lowlife_v3 | 
814 Park (By Osker814) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/814Park/814_Park.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/814Park | 
Vans Huntington Beach Skatepark v2 (By Tyrone Biggums) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/huntingtonBeach/HuntingtonBeach_By_TyroneBiggums.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/huntingtonBeach | 
Roobers Warehouse v4 Day | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/roobersWarehouse/Roobers_Warehouse_v4_Day.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/roobersWarehouse | 
Roobers Warehouse v4 Night | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/roobersWarehouse/Roobers_Warehouse_v4_Night.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/roobersWarehouse | 
Truro Plaza Skatepark (By Ollie795) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/truroPlaza/Truro_Plaza_Skatepark_by_Ollie795.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/truroPlaza | 
Wood Park v1.5 (By wur5ty) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/woodPark/Wood_Park_v1_5_By_wur5ty.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/woodPark | 
Blokto Park v1 (By JammieDodger) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/bloktoPark/BloktoPark_v1.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/bloktoPark | 
Roobers Garden v1 (By Roober) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/rooberGarden/Roobers_Garden_v1.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/rooberGarden | 
SLS London 2018 v2 (By dga) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/slsLondon/SLSLondon2018v2.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/slsLondon | 
Lake Titicaca Park (By Osker814) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/lakeTiticaca/LakeTiticacaPark_By_Osker814.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/lakeTiticaca | 
Mega Park (By VilmFilm) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/megaPark/MegaPark-VilmFilm.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/megaPark | 
Street Map (By Sandeyes) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/streetMap/StreetMap_By_Sandeyes.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/streetMap | 
OakTown Park v0.1 W.I.P (By rodriada000) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/oakTown/OakTown_Park.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/oakTown | 
Modular Seaside Town (By Zac) | DIRECT:https://github.com/rodriada000/SessionCustomMapReleases/releases/download/seasideTown/ModularSeasideTownV2_By_Zac.zip | https://github.com/rodriada000/SessionCustomMapReleases/releases/tag/seasideTown | 
